Economy,Brazil,China,"China, Hong Kong SAR",Singapore,United States
1990,625,830,2448,2034,30982
1991,1015,913,2825,526,32696
1992,137,4000,8254,1317,42647
1993,492,4400,17713,2152,77247
1994,690,2000,21437,4577,73252
1995,1096,2000,25000,7283,92074
1996,-469,2114,26531,9196,84426
1997,1116,2562,24407,12252,95769
1998,2854,2634,16626,3544,131004
1999,1690,1774,22191,8111,209391
2000,2282,916,54079,6848,142626
2001,-2258,6885,18055,20204,124873
2002,2482,2518,13163,2835,134946
2003,249,2855,12057,3726,129352
2004,9807,5498,43637,13139,294905
2005,2517,12261,27003,12553,15369
2006,28202,17634,44475,20063,224220
2007,7067,26506,64166,40882,393518
2008,20457,55907,48379,7964,308296
2009,-10084,56529,59202,32040,287901
2010,22060,68811,86247,35407,277779
2011,11062,74654,96341,31900,396569
2012,-8425,87804,83411,20480,318196
2013,-478,107844,80773,45279,303432
2014,-3261,123120,124092,52477,333014
2015,-11643,145667,71821,45223,264359
2016,-5901,196149,59703,39496,284469
2017,19040,158288,86704,66333,327781
2018,-16336,143037,82201,23926,-157407
2019,19031,136908,53202,67776,35056
2020,-13415,153710,100715,39793,224465
2021,20450,178819,96428,61368,241882
2022,32100,163120,106226,52230,302976
2023,26746,177289,97152,62997,360414
2024,12427,162780,87247,55257,266367
