Economy,Brazil,China,"China, Hong Kong SAR",Singapore,United States
1990,0.989,3.487,3.275,5.575,48.422
1991,1.102,4.366,1.021,4.887,22.799
1992,2.061,11.008,3.887,2.204,19.222
1993,1.291,27.515,6.93,4.686,50.663
1994,2.15,33.767,7.828,8.55,45.095
1995,4.405,37.521,6.213,11.943,58.772
1996,10.792,41.726,10.46,11.432,84.455
1997,18.993,45.257,11.368,15.702,103.398
1998,28.856,45.463,13.939,5.959,174.434
1999,28.578,40.319,25.355,18.853,283.376
2000,32.779,40.715,54.582,14.752,314.007
2001,22.457,46.878,29.061,17.302,159.461
2002,16.59,52.743,3.662,5.338,74.457
2003,10.144,53.505,17.831,16.353,53.146
2004,18.146,60.63,29.154,22.325,135.826
2005,15.066,72.406,34.058,17.748,104.773
2006,18.822,72.715,41.811,37.48,237.136
2007,34.585,83.521,58.403,42.609,215.952
2008,45.058,108.312,58.315,11.81,306.366
2009,25.949,94.061,55.535,18.532,143.604
2010,77.687,114.734,70.541,57.46,198.049
2011,97.422,123.985,96.581,39.89,229.862
2012,82.06,121.073,70.18,60.103,199.034
2013,59.089,123.911,74.294,56.672,201.393
2014,63.846,128.502,113.038,73.287,201.733
2015,49.961,135.577,174.353,59.7,467.625
2016,53.7,133.711,117.387,67.508,459.419
2017,66.585,136.315,110.685,85.355,308.957
2018,59.824,138.306,104.246,74.413,203.234
2019,65.386,141.225,73.714,98.083,229.93
2020,28.322,149.342,134.71,71.55,93.373
2021,50.651,180.957,140.186,130.955,386.097
2022,73.352,189.132,109.685,142.128,316.895
2023,64.04,163.253,122.947,135.104,233.106
2024,59.178,116.238,126.181,143.352,278.848
